generator_type,rho,alpha,delta,K,T,seed,method,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,worst_window_dip,worst_window_recovery,budget_normalized_score,final_accuracy,accuracy_auc
sine,10.0,0.0,0.5,10,20,53,FedAvg,,,,0.0,0,,0.662,12.3272
sine,10.0,0.0,0.5,10,20,54,FedProTrack,0.905,0.632579,0.095,0.0,0,0.000962,0.4264,7.696
sine,10.0,0.0,0.5,10,20,54,IFCA,0.865,0.0,0.135,0.0,0,0.001242,0.6104,11.3304
sine,10.0,0.0,0.5,10,20,54,FedProto,,,,0.0,0,0.002096,0.6738,12.7415
sine,10.0,0.0,0.5,10,20,54,FedAvg,,,,0.0,0,,0.5468,9.6242
sine,10.0,0.0,0.5,10,20,55,FedProTrack,0.91,0.648713,0.09,0.2284,6,0.001185,0.4136,9.478
sine,10.0,0.0,0.5,10,20,55,IFCA,0.865,0.0,0.135,0.27,6,0.001259,0.5974,11.4802
sine,10.0,0.0,0.5,10,20,55,FedProto,,,,0.3512,6,0.001663,0.3188,10.1099
sine,10.0,0.0,0.5,10,20,55,FedAvg,,,,0.3412,6,,0.3564,9.8994
sine,10.0,0.0,0.5,10,20,56,FedProTrack,0.9,1.018526,0.1,0.3252,6,0.001164,0.3444,9.3134
sine,10.0,0.0,0.5,10,20,56,IFCA,0.96,0.0,0.04,0.2844,6,0.001225,0.6142,11.1751
sine,10.0,0.0,0.5,10,20,56,FedProto,,,,0.3686,6,0.001533,0.664,9.3213
sine,10.0,0.0,0.5,10,20,56,FedAvg,,,,0.3168,6,,0.4172,9.3726
sine,10.0,0.0,0.5,10,20,57,FedProTrack,0.91,0.750181,0.09,0.0,0,0.001277,0.528,10.2162
sine,10.0,0.0,0.5,10,20,57,IFCA,0.865,0.0,0.135,0.0,0,0.001234,0.6056,11.2545
sine,10.0,0.0,0.5,10,20,57,FedProto,,,,0.0,0,0.0021,0.665,12.7654
sine,10.0,0.0,0.5,10,20,57,FedAvg,,,,0.0,0,,0.538,9.6208
sine,10.0,0.0,0.5,10,20,58,FedProTrack,0.9,0.866457,0.1,0.0,0,0.001273,0.5284,10.1864
sine,10.0,0.0,0.5,10,20,58,IFCA,1.0,0.0,0.0,0.0,0,0.001316,0.6262,12.0057
sine,10.0,0.0,0.5,10,20,58,FedProto,,,,0.0,0,0.002093,0.6632,12.7266
sine,10.0,0.0,0.5,10,20,58,FedAvg,,,,0.0,0,,0.6412,12.352
sine,10.0,0.0,0.5,10,20,59,FedProTrack,0.89,1.000949,0.11,0.0,0,0.001222,0.5276,9.7774
sine,10.0,0.0,0.5,10,20,59,IFCA,0.81,0.0,0.19,0.2942,6,0.001244,0.6046,11.3476
sine,10.0,0.0,0.5,10,20,59,FedProto,,,,0.3536,6,0.001742,0.6698,10.5933
sine,10.0,0.0,0.5,10,20,59,FedAvg,,,,0.2984,6,,0.46,8.754
sine,10.0,0.0,0.5,10,20,60,FedProTrack,0.895,1.01941,0.105,0.0592,6,0.00121,0.5,9.6796
sine,10.0,0.0,0.5,10,20,60,IFCA,0.85,0.0,0.15,0.252,4,0.001223,0.614,11.1572
sine,10.0,0.0,0.5,10,20,60,FedProto,,,,0.3582,6,0.001509,0.322,9.1766
sine,10.0,0.0,0.5,10,20,60,FedAvg,,,,0.33,6,,0.3892,9.513
sine,10.0,0.0,0.5,10,20,61,FedProTrack,0.895,0.997778,0.105,0.2608,1,0.001455,0.6472,11.6368
sine,10.0,0.0,0.5,10,20,61,IFCA,0.925,0.0,0.075,0.2542,6,0.001193,0.3614,10.8847
